City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Ochakiv,UA,60.94,scattered clouds,46.6128,31.5498,Briz
6,Bengkulu,ID,74.98,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
7,Haines Junction,CA,60.75,light rain,60.7522,-137.5108,Parkside Inn
10,Saint-Philippe,RE,73.47,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
11,Castro,BR,59.61,clear sky,-24.7911,-50.0119,CHACARA BAILLY
14,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
19,Vila Franca Do Campo,PT,64.81,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
29,Mar Del Plata,AR,55.87,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
37,Barcelos,PT,68.29,clear sky,41.5388,-8.6151,Hotel Do Terço
38,Hay River,CA,55.38,fog,60.8156,-115.7999,Ptarmigan Inn
39,Ponta Do Sol,PT,67.01,scattered clouds,32.6667,-17.1,Hotel do Campo
45,Port Elizabeth,ZA,59.29,few clouds,-33.918,25.5701,39 On Nile Guest House
47,Zharkent,KZ,63.9,clear sky,44.1628,80.0,гостиница Satti
51,Cape Town,ZA,58.12,mist,-33.9258,18.4232,Southern Sun Waterfront Cape Town
55,Saint-Leu,RE,72.95,light rain,-21.15,55.2833,La Caz Oceane
59,Airai,TL,59.25,overcast clouds,-8.9266,125.4092,Juvinal Martin
64,Hermanus,ZA,57.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
68,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
71,Katsuura,JP,73.11,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
72,Chifeng,CN,62.06,few clouds,42.2683,118.9636,Junyu Tiancheng Hotel
76,Carnarvon,AU,59.07,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
77,Yellowknife,CA,59.52,broken clouds,62.456,-114.3525,The Explorer Hotel
80,Fortuna,US,70.41,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
81,East London,ZA,58.41,clear sky,-33.0153,27.9116,Tu Casa
83,Enkhuizen,NL,58.01,overcast clouds,52.7,5.2833,Hotel De Koepoort
84,Gat,IL,70.48,clear sky,31.61,34.7642,OlusHome
90,Cherskiy,RU,66.47,overcast clouds,68.75,161.3,Gostinitsa
94,Sayyan,YE,63.54,clear sky,15.1718,44.3244,متنزه و بحيرة سيان
95,Cap Malheureux,MU,70.29,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
99,Khandyga,RU,68.92,overcast clouds,62.6667,135.6,Apel'sin
107,Mosquera,CO,68.09,broken clouds,4.7059,-74.2302,Hotel SJ
108,Ituiutaba,BR,74.71,broken clouds,-18.9689,-49.465,Bernal Hotel
113,Komarovo,RU,59.18,overcast clouds,60.1841,29.8175,Baltiyets
114,Thompson,CA,60.96,overcast clouds,55.7435,-97.8558,Burntwood Hotel
