City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,48.09,74,0,8.03,clear sky
1,Atuona,PF,-9.8,-139.0333,79.66,65,63,7.4,broken clouds
2,Mercedes,AR,-34.6515,-59.4307,59.02,46,97,7.56,overcast clouds
3,Georgetown,MY,5.4112,100.3354,80.53,88,20,1.01,few clouds
4,Mataura,NZ,-46.1927,168.8643,43.38,87,88,2.24,overcast clouds
5,Oranjestad,AW,12.524,-70.027,87.75,66,40,23.02,scattered clouds
6,Hithadhoo,MV,-0.6,73.0833,83.03,74,8,13.85,clear sky
7,Srednekolymsk,RU,67.45,153.6833,55.69,56,100,12.48,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,38.86,81,75,0.0,broken clouds
9,Nanortalik,GL,60.1432,-45.2371,45.99,68,100,14.56,overcast clouds
10,Constitucion,CL,-35.3333,-72.4167,54.77,63,100,10.89,overcast clouds
11,East London,ZA,-33.0153,27.9116,63.3,41,0,9.78,clear sky
12,Ostrovnoy,RU,68.0531,39.5131,39.67,87,7,8.16,clear sky
13,New Norfolk,AU,-42.7826,147.0587,53.1,83,100,1.99,overcast clouds
14,Kovur,IN,14.4833,79.9833,85.06,68,21,10.13,few clouds
15,Hamilton,US,39.1834,-84.5333,84.76,65,40,3.0,scattered clouds
16,Saint-Philippe,RE,-21.3585,55.7679,71.15,85,70,12.68,light rain
17,Bluff,NZ,-46.6,168.3333,46.9,84,76,9.33,broken clouds
18,Haines Junction,CA,60.7522,-137.5108,51.75,76,100,4.61,overcast clouds
19,Hofn,IS,64.2539,-15.2082,47.35,93,97,11.45,overcast clouds
20,Muncar,ID,-8.4333,114.3333,75.49,92,56,0.85,broken clouds
21,Priladozhskiy,RU,59.85,31.4833,67.66,4,22,3.65,few clouds
22,Albany,US,42.6001,-73.9662,92.44,41,59,1.01,broken clouds
23,Saint George,US,37.1041,-113.5841,100.87,11,1,1.99,clear sky
24,Hermanus,ZA,-34.4187,19.2345,68.9,42,0,11.32,clear sky
25,Boshnyakovo,RU,49.6333,142.1667,44.47,92,99,4.52,overcast clouds
26,Nadym,RU,65.5333,72.5167,36.57,69,12,8.1,few clouds
27,Ilulissat,GL,69.2167,-51.1,42.82,70,94,4.61,overcast clouds
28,Sibolga,ID,1.7427,98.7792,75.13,78,68,3.53,broken clouds
29,Tasiilaq,GL,65.6145,-37.6368,44.76,90,97,3.29,overcast clouds
30,Lakes Entrance,AU,-37.8811,147.981,49.17,72,100,9.4,overcast clouds
31,Bethel,US,41.3712,-73.414,94.82,45,1,1.01,clear sky
32,San Andres,CO,12.5847,-81.7006,87.82,74,40,16.11,scattered clouds
33,Sao Felix Do Xingu,BR,-6.6447,-51.995,83.91,62,99,1.83,overcast clouds
34,Dunyapur,PK,29.7995,71.7196,93.22,29,0,5.82,clear sky
35,Dunedin,NZ,-45.8742,170.5036,44.8,87,95,1.01,overcast clouds
36,Castro,BR,-24.7911,-50.0119,66.45,66,99,4.12,moderate rain
37,Salmas,IR,38.1973,44.7653,65.39,26,0,7.43,clear sky
38,Rikitea,PF,-23.1203,-134.9692,76.86,84,96,15.68,overcast clouds
39,Sribne,UA,50.6638,32.9187,56.23,94,100,6.15,overcast clouds
40,Melbu,NO,68.5044,14.8297,65.98,55,0,4.72,clear sky
41,Cape Town,ZA,-33.9258,18.4232,69.12,25,0,10.22,clear sky
42,Saskylakh,RU,71.9167,114.0833,36.36,68,63,4.52,broken clouds
43,Huarmey,PE,-10.0681,-78.1522,70.83,68,90,11.21,overcast clouds
44,Nome,US,64.5011,-165.4064,38.16,87,90,9.22,light rain
45,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,69,90,8.05,overcast clouds
46,Mayumba,GA,-3.432,10.6554,75.87,93,95,5.41,overcast clouds
47,Dzhebariki-Khaya,RU,62.2167,135.8,57.31,65,100,2.57,overcast clouds
48,Punta Arenas,CL,-53.15,-70.9167,42.91,70,0,12.26,clear sky
49,Sistranda,NO,63.7256,8.834,55.9,93,94,14.16,overcast clouds
50,Mar Del Plata,AR,-38.0023,-57.5575,57.22,60,0,1.99,clear sky
51,Lompoc,US,34.6391,-120.4579,74.7,81,90,1.01,overcast clouds
52,Avarua,CK,-21.2078,-159.775,71.65,78,75,3.44,broken clouds
53,Lagoa,PT,39.05,-27.9833,64.04,90,100,12.8,overcast clouds
54,Grindavik,IS,63.8424,-22.4338,49.95,87,75,15.08,broken clouds
55,La Libertad,EC,-2.2333,-80.9,73.06,83,90,11.05,overcast clouds
56,San Patricio,US,28.017,-97.5169,91.81,65,10,17.78,clear sky
57,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,73,0,11.5,clear sky
58,Kashi,CN,39.4547,75.9797,74.41,27,40,3.09,scattered clouds
59,Esperance,AU,-33.8667,121.9,53.44,59,100,28.39,overcast clouds
60,Qaanaaq,GL,77.484,-69.3632,40.37,84,40,5.28,scattered clouds
61,Kulhudhuffushi,MV,6.6221,73.07,81.93,80,100,15.17,overcast clouds
62,Sobolevo,RU,54.4299,31.8996,56.77,90,62,6.17,light rain
63,Grand Gaube,MU,-20.0064,57.6608,73.8,84,6,5.01,clear sky
64,Horsham,GB,51.064,-0.3272,69.31,72,0,5.35,clear sky
65,Kruisfontein,ZA,-34.0033,24.7314,62.89,21,0,9.04,clear sky
66,Souillac,MU,-20.5167,57.5167,73.78,83,40,9.89,light rain
67,Komsomolskiy,UZ,40.4272,71.7189,86.72,25,63,6.91,broken clouds
68,Beira,MZ,-19.8436,34.8389,67.14,84,62,11.56,light rain
69,Airai,TL,-8.9266,125.4092,55.06,82,69,2.75,broken clouds
70,Puerto Ayora,EC,-0.7393,-90.3518,82.36,88,30,5.99,scattered clouds
71,Noumea,NC,-22.2763,166.4572,70.0,99,99,5.48,overcast clouds
72,Canavieiras,BR,-15.675,-38.9472,82.36,82,5,6.73,clear sky
73,Eureka,US,40.8021,-124.1637,66.67,66,20,5.99,few clouds
74,Tiksi,RU,71.6872,128.8694,43.99,65,100,6.42,overcast clouds
