City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Padang,ID,2021-05-31 02:08:51,-0.9492,100.3543,80.65,80,99,1.01
1,Mar Del Plata,AR,2021-05-31 02:08:53,-38.0023,-57.5575,50.0,67,0,11.99
2,La Ronge,CA,2021-05-31 02:08:54,55.1001,-105.2842,60.64,48,100,9.64
3,Narsaq,GL,2021-05-31 02:08:56,60.9167,-46.05,43.02,69,11,2.48
4,Upernavik,GL,2021-05-31 02:08:58,72.7868,-56.1549,30.83,95,100,3.62
5,Horn Lake,US,2021-05-31 02:08:59,34.9554,-90.0348,64.08,77,14,6.11
6,New Norfolk,AU,2021-05-31 02:09:00,-42.7826,147.0587,51.93,49,89,3.24
7,Sao Joao Da Barra,BR,2021-05-31 02:09:01,-21.6403,-41.0511,72.57,96,100,7.94
8,Ankara,TR,2021-05-31 02:09:03,39.9199,32.8543,62.2,76,75,1.99
9,Boras,SE,2021-05-31 02:09:04,57.721,12.9401,50.34,73,7,1.79
10,Bredasdorp,ZA,2021-05-31 02:09:05,-34.5322,20.0403,52.86,67,100,4.07
11,Cape Town,ZA,2021-05-31 02:08:47,-33.9258,18.4232,56.08,91,75,8.39
12,Emerald,AU,2021-05-31 02:09:08,-23.5333,148.1667,71.35,37,0,9.42
13,Rikitea,PF,2021-05-31 02:06:17,-23.1203,-134.9692,75.15,70,64,12.01
14,Mwense,ZM,2021-05-31 02:09:10,-10.3845,28.698,54.07,67,0,2.26
15,Khatanga,RU,2021-05-31 02:09:11,71.9667,102.5,50.52,72,100,7.99
16,Saint-Claude,FR,2021-05-31 02:09:13,46.5,5.8333,47.16,84,0,4.81
17,Dikson,RU,2021-05-31 02:09:14,73.5069,80.5464,30.22,98,100,10.27
18,Coihaique,CL,2021-05-31 02:09:15,-45.5752,-72.0662,42.75,87,0,3.44
19,Puerto Narino,CO,2021-05-31 02:09:16,-3.7703,-70.3831,73.35,96,97,3.2
20,Chapleau,CA,2021-05-31 02:09:18,47.8405,-83.4034,50.47,53,100,5.17
21,Husavik,IS,2021-05-31 02:09:19,66.0449,-17.3389,45.52,74,66,6.38
22,Urucara,BR,2021-05-31 02:09:20,-2.5364,-57.76,78.51,76,96,0.47
23,Aswan,EG,2021-05-31 02:09:22,24.0934,32.907,87.6,12,95,9.42
24,Hermanus,ZA,2021-05-31 02:09:23,-34.4187,19.2345,53.91,71,100,7.83
25,Busselton,AU,2021-05-31 02:09:24,-33.65,115.3333,57.09,64,100,13.76
26,Salalah,OM,2021-05-31 02:05:13,17.0151,54.0924,82.49,89,75,4.61
27,Punta Arenas,CL,2021-05-31 02:06:38,-53.15,-70.9167,30.31,80,40,7.58
28,Camana,PE,2021-05-31 02:09:28,-16.6228,-72.7111,65.23,88,53,7.78
29,Mataura,NZ,2021-05-31 02:09:29,-46.1927,168.8643,49.48,98,100,4.9
30,Klaksvik,FO,2021-05-31 02:09:30,62.2266,-6.589,50.92,92,4,19.35
31,Qaanaaq,GL,2021-05-31 02:09:32,77.484,-69.3632,29.03,93,100,4.25
32,Biak,ID,2021-05-31 02:09:33,-0.9131,122.8766,82.0,72,100,5.14
33,Saint-Pierre,RE,2021-05-31 02:09:34,-21.3393,55.4781,69.48,49,0,8.05
34,Saskylakh,RU,2021-05-31 02:09:35,71.9167,114.0833,44.96,66,1,5.91
35,Kavieng,PG,2021-05-31 02:09:37,-2.5744,150.7967,83.5,77,100,11.59
36,Ukiah,US,2021-05-31 02:09:38,39.1502,-123.2078,97.12,27,1,10.36
37,Tual,ID,2021-05-31 02:09:39,-5.6667,132.75,81.63,77,100,19.04
38,Jamestown,US,2021-05-31 02:09:41,42.097,-79.2353,49.17,90,5,1.95
39,High Level,CA,2021-05-31 02:09:42,58.5169,-117.136,71.13,31,99,3.06
40,Barrow,US,2021-05-31 02:09:45,71.2906,-156.7887,33.82,80,90,16.11
41,San Cristobal,VE,2021-05-31 02:06:55,7.7669,-72.225,71.78,98,72,2.42
42,Bethel,US,2021-05-31 02:09:48,41.3712,-73.414,49.19,92,100,1.01
43,Amahai,ID,2021-05-31 02:09:49,-3.3333,128.9167,82.27,75,100,5.99
44,Gamboma,CG,2021-05-31 02:09:51,-1.8764,15.8644,76.51,74,100,0.22
45,Mahebourg,MU,2021-05-31 02:07:22,-20.4081,57.7,71.26,79,36,9.33
46,Srednekolymsk,RU,2021-05-31 02:09:53,67.45,153.6833,66.13,25,96,11.45
47,Provideniya,RU,2021-05-31 02:09:54,64.3833,-173.3,50.11,46,0,20.13
48,Sao Domingos Do Prata,BR,2021-05-31 02:09:56,-19.865,-42.9683,65.32,90,61,1.21
49,Tahta,EG,2021-05-31 02:09:57,26.7693,31.5021,84.43,15,0,3.02
50,Concordia,AR,2021-05-31 02:09:58,-31.393,-58.0209,47.79,99,0,5.99
51,Mayahi,NE,2021-05-31 02:10:00,13.9553,7.6712,82.69,10,8,8.63
52,Albany,US,2021-05-31 02:06:13,42.6001,-73.9662,47.84,94,100,3.38
53,Banjar,ID,2021-05-31 02:10:05,-8.19,114.9675,80.46,55,64,1.19
54,Ravar,IR,2021-05-31 02:10:06,31.2656,56.8055,81.36,10,0,3.44
55,Margate,GB,2021-05-31 02:10:08,51.3813,1.3862,53.31,84,1,1.99
56,Cherskiy,RU,2021-05-31 02:10:09,68.75,161.3,63.88,28,0,2.89
57,Ahipara,NZ,2021-05-31 02:10:10,-35.1667,173.1667,60.01,82,44,15.32
58,East London,ZA,2021-05-31 02:08:20,-33.0153,27.9116,55.8,67,100,9.75
59,Bengkulu,ID,2021-05-31 02:10:13,-3.8004,102.2655,79.93,76,45,3.87
60,Malmesbury,ZA,2021-05-31 02:10:14,-33.4608,18.7271,54.75,91,100,5.17
61,Yellowknife,CA,2021-05-31 02:10:15,62.456,-114.3525,52.29,45,43,4.56
62,Ushuaia,AR,2021-05-31 02:10:18,-54.8,-68.3,28.06,100,75,5.75
63,Clyde River,CA,2021-05-31 02:10:19,70.4692,-68.5914,25.03,100,90,3.44
64,Ilulissat,GL,2021-05-31 02:10:19,69.2167,-51.1,33.82,80,75,12.66
65,Tuktoyaktuk,CA,2021-05-31 02:10:21,69.4541,-133.0374,40.1,69,16,1.43
66,Praia Da Vitoria,PT,2021-05-31 02:10:23,38.7333,-27.0667,61.75,84,100,9.4
67,Jacqueville,CI,2021-05-31 02:10:24,5.2052,-4.4146,82.31,81,83,8.9
68,Hilo,US,2021-05-31 02:10:25,19.7297,-155.09,88.29,83,90,11.5
69,Carnarvon,AU,2021-05-31 02:10:27,-24.8667,113.6333,66.27,68,61,9.22
70,Kargopol,RU,2021-05-31 02:10:28,61.5071,38.9456,35.89,73,14,2.77
